Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
Shahriar Nafees,3.28571428571,0.142857142857,42
HJH Marshall,1.1,0.1,10
MH Cross,1.53333333333,0.0666666666667,15
Amjad Ali,4.46153846154,0.230769230769,13
Javed Omar,2.66666666667,0.166666666667,6
ZE Surkari,0.875,0,8
KS Williamson,4.32941176471,0.376470588235,85
GA Lamb,0.5,0,14
K Rabada,1.0,0,6
Asad Ali,0.5,0,2
LPC Silva,2.53191489362,0.255319148936,47
P Utseya,0.987341772152,0.0379746835443,79
AJ Ireland,0.2,0,5
KM Jarvis,0.333333333333,0,12
GJ Hopkins,1.3125,0,16
PJC Hoffmann,1.66666666667,0,3
AR Patel,0.642857142857,0,14
TL Chatara,0.705882352941,0,17
L Ronchi,2.90384615385,0.0769230769231,52
WPUJC Vaas,0.653846153846,0,26
BJ Haddin,3.31632653061,0.163265306122,98
LD Chandimal,2.17204301075,0.182795698925,93
