Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,29,KC Sangakkara,0,0,0,0,9,0,19,1,8,6,14,20,22,42,0,254,18,0,3,4.33659,0.360976,41.9854,80.6276,205,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,29,V Sehwag,15,12,3,15,18,0,22,1,14,8,22,38,24,62,255,185,3,0,3,5.88636,0.238636,38.8295,108.649,88,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,29,SC Ganguly,7,0,7,19,18,0,22,1,14,8,22,38,24,62,255,185,3,0,3,4.56,0.36,36.8,68.2999,25,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,29,SR Tendulkar,0,0,0,0,18,0,22,1,14,8,22,38,24,62,255,185,3,0,3,5.89773,0.363636,45.6023,84.5376,88,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,29,R Dravid,0,0,0,0,18,0,22,1,14,8,22,38,24,62,255,185,3,0,3,2.83721,0.255814,29.8605,72.7067,43,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,30,EJG Morgan,12,6,6,20,17,1,22,0,4,9,13,30,22,52,0,183,9,0,3,3.19549,0.233083,30.0526,86.9291,133,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,30,JP Bray,27,20,7,39,17,1,22,0,4,9,13,30,22,52,0,183,9,0,3,2.7,0.1,23.4,63.0728,10,1
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,30,S Chanderpaul,29,20,9,34,22,1,28,0,0,9,9,32,27,59,184,190,5,1,3,3.57143,0.396825,40.8254,68.0783,63,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,30,RR Sarwan,3,0,3,15,22,1,28,0,0,9,9,32,27,59,184,190,5,1,3,2.8254,0.222222,29.1429,69.1005,63,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,31,ML Hayden,46,36,10,32,50,0,27,0,24,5,29,80,26,106,0,377,0,0,3,6.37838,0.378378,50.6757,83.3333,37,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,31,AC Gilchrist,31,20,11,28,50,0,27,0,24,5,29,80,26,106,0,377,0,0,3,4.3,0.275,31.425,96.1009,40,0
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,31,RT Ponting,0,0,0,0,50,0,27,0,24,5,29,80,26,106,0,377,0,0,3,4.17431,0.33945,38.1009,80.8606,109,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,31,AB de Villiers,42,34,8,39,37,0,33,0,26,14,40,82,28,110,378,294,3,0,3,5.04969,0.403727,47.2174,98.8428,161,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,31,GC Smith,28,22,6,24,37,0,33,0,26,14,40,82,28,110,378,294,3,0,3,3.97,0.29,33.57,79.6819,100,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,34,ML Hayden,17,12,5,28,9,1,39,0,8,12,20,34,34,68,0,322,9,0,3,6.37838,0.378378,50.6757,83.3333,37,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,34,RT Ponting,24,14,10,24,9,1,39,0,8,12,20,34,34,68,0,322,9,0,3,4.17431,0.33945,38.1009,80.8606,109,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,34,MJ Clarke,0,0,0,0,9,1,39,0,8,12,20,34,34,68,0,322,9,0,3,3.10294,0.301471,35.9265,74.0303,136,4
